Micro	-	0.01131289327110343	0.009898258170504368
0	27	0.008817543854284633	0.010558135065597253
1	1	0.0	0.010101010101010107
2	1	0.0	0.010101010101010104
3	2	0.0043608124629952024	0.010159583546295967
4	2	0.001893939393939394	0.010184755720470007
5	2	0.01166187411566023	0.010085082917187137
6	17	0.012913220479215063	0.009558897257018783
7	1	0.0	0.010101010101010102
8	1	0.0	0.010101010101010095
9	1	0.0	0.010101010101010095
10	2	0.02145214521452145	0.009985182191688556
11	23	0.013520662195554787	0.009123966645425906
12	2	0.018162891405729513	0.010018746006063988
13	2	0.006432426857358958	0.010138444623904501
14	3	0.008490857071805908	0.010134209132540086
15	2	0.06475686699381811	0.009543297275573279
16	4	0.010715533712486555	0.010081806238151468
17	2	0.007787619185905812	0.010124616130756062
18	1	0.0	0.01010101010101009
19	1	0.0	0.010101010101010107
20	3	0.007121269025006846	0.01016244806134006
	6.642857142857143	0.014149118712020176	0.009989940772286649
